quiz_type,question,answer
normal,객체 지향의 4대 특성이 아닌 것을 고르시오. 1.캡슐화 2.상속 3.추상화 4.다양성,4
normal,자바의 메모리 영역이 아닌것을 고르시오. 1.메소드(Method) 영역 2.메인(Main) 영역 3.힙(Heap) 영역,2
normal,"자바의 참조형 변수에는 무엇이 포함될 수 있습니까? 1.주소 값  2.실제 값 3,메모리 공간 4, 모두다 정답",1
normal, 절차지향 프로그래밍의 특징이 아닌 것을 고르시오. 1.컴퓨터의 처리구조와 유사해 실행속도가 빠르다. 2.코드의 순서가 바뀌면 동일한 결과를 보장하기 어렵다. 3.가장 대표적인 언어로 Java가 있다,3
normal,Java 프로그램의 실행 시작점은 무엇입니까? 1. main() 2.start() 3.run() 4. begin() ,1
normal,Java에서 사용되는 키워드 중에서 예약되지 않은 것은 무엇입니까? 1. final 2.static 3. main 4. private,3
normal,Java에서 배열은 어떻게 선언됩니까? 1. int array[ ] 2. int[ ] array 3. array int [ ] 4. array [ ] int ,2
normal,"Java에서 서로 다른 두 시스템 장치, 소프트웨어 따위를 서로 이어주는 부분 혹은 접속장치라고 불리는 것은 무엇인가요? 한글로 작성해주세요",인터페이스
normal,Q. Java에서 문자열을 비교할 때 사용되는 메서드는 무엇입니까? 1. equals() 2. compare() 3. compareto() 4. contains(),1
normal,클라이언트가 웹 서버에 연결된 순간부터 서버와 통신을 끝낼 때가지의 기간을 의미합니다.,세션
normal,create drop alter에 해당하는 sql은 정답은 영어로 3글자,DDL
normal,select insert delete update에 해당하는 sql은 정답은 영어로 3글자,DML
normal,grant revoke에 해당하는 sql은 무엇인가요 정답은 영어로 3글자,DCL
normal,가상 테이블로 물리적으로 데이터가 저장되진 않짐나 허용된 자료만 제한적으로 보여주는 테이블입니다 정답은 한글로 작성해주세요,뷰
normal,"데이터의 정확성, 일관성, 유효성을 유지하는 것은 데이터의 무슨 특성인가요? 띄어쓰기를 해주세요",데이터의 무결성
normal,데이터베이스의 구조와 제약조건에 대해 전반적인 명세를 기술한것은 무엇인가요?,스키마
normal,후입선출 구조로 나중에 들어간 데이터가 먼저 나오는 구조는 무엇인가요,스택
normal,선입선출 구조로 먼저 들어간 데이터가 먼저 나오는 구조는 무엇인가요?,큐
normal,깊이 우선 탐색으로 다음 분기로 넘어가기 전에 해당 분기를 완벽하게 탐색하는 방법은 무엇인가요,DFS
normal,너비 우선 탐색으로 인접한 노드를 먼저 탐색하는 방법은 무엇인가요,BFS
normal,자바스크립트를 이용하여 서버와 클라이언트 간에 비동기식으로 데이터를 주고 받는 것,Ajax
normal,"이것은 환경 구축을 쉽고 빠르게 하고 하드웨어 자원이 절감되는 장점이 있다, 단점으로는 개발하기가 쉽지 않고 리눅스에 친화적이다.",도커
normal,시스템에 문제가 발생하였을때 문제가 해결하는 것은 무엇인가요,트러블슈팅
normal,"문제를 풀기 위해 여러 개의 하위 문제로 나누어 푼 다음, 그것을 결합하여 해결하는 프로그래밍 방식은?",동적프로그래맹
normal,공통적으로 발생하는 문제들에 대하여 재사용 할 수 있도록 만든것은 무엇인가요?,디자인패턴
jobfair,한 분야에 집중하고 탐닉하는 마니아적 소비를 일컫는 신조어를 고르십시오.,디깅족
jobfair,가성비와 환경을 중시하는 소비자를 뜻하는 신조어를 고르십시오.,페이크 슈머
jobfair,저축은행들의 실시간 예금금리 순위를 일컫는 단어를 고르십시오.,뱅보드차트
jobfair,"일하는 공간의 변화부터 시작해 일에 대한 가치관, 일을 함께하는 조직, 또 이들을 경영하는 시스템이 폭발적으로 변화하는 것을 말하는 신조어를 고르십시오.",오피스빅뱅
jobfair,경쟁자가 많아서 이미 포화가 되어버린 시장을 뜻하는 말은 무엇인가요?,레드오션
jobfair,○○○기업은 미국 실리콘밸리에서 큰 성공을 거둔 스타트업을 일컫는 말이다,유니콘
jobfair,"인간의 학습능력과 추론능력, 지각능력, 자연언어의 이해능력 등을 컴퓨터 프로그램으로 실현한 기술이란",인공지능
bonus,경국대전을 완성한 시기는? 1. 세종  2. 세조  3. 성종,3
bonus,백가지 과일이 죽기 직전을 다른 말로?,백과사전
bonus,딸기가 직장을 잃으면? ,딸기시럽
bonus,우유가 넘어지면? ,아야
bonus,항상 열받아 있는 동네는? ,성남
bonus,가장 똑똑한 새는? ,하버드
bonus,세계에서 가장 큰 바다는 어디인가? ,태평양
bonus,인간의 신체에서 가장 큰 기관은 무엇인가? ,간
bonus,우리나라 최남단에 있는 섬 이름은 무엇인가요?,마라도
bonus,우리나라 광역시는 몇 개인가요?,6
bonus,산타가 타고다니는 것은 무엇인가요? ,썰매
bonus,○○○○분석은 기업의 내외부 환경을 동시에 고려하는 전략입니다. 기업 내부의 강점과 약점을 파악한 후 기업 외부 기회와 위협을 고려하며 전략을 도출하는 것이다. 빈칸에 들어갈 말은?,SWOT